countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Alachua,453,1,0.22075055187637968,281,1,0.35587188612099646,61.2099644128114
Baker,28,0,0,29,0,0,0
Bay,498,3,0.6024096385542169,220,3,1.3636363636363635,126.363636363636
Bradford,39,1,2.5641025641025643,27,0,0,-100
Brevard,782,2,0.2557544757033248,584,4,0.684931506849315,167.808219178082
Broward,3604,16,0.4439511653718091,2313,14,0.6052745352356247,36.3380890618245
Calhoun,13,0,0,18,0,0,0
Charlotte,194,3,1.5463917525773196,163,3,1.8404907975460123,19.0184049079755
Citrus,144,3,2.0833333333333335,121,3,2.479338842975207,19.0082644628099
Clay,279,3,1.075268817204301,159,2,1.2578616352201257,16.9811320754717
Collier,411,1,0.24330900243309003,256,4,1.5625,542.1875
Columbia,110,3,2.727272727272727,107,1,0.9345794392523364,-65.7320872274143
Desoto,41,0,0,49,0,0,0
Dixie,11,0,0,13,0,0,0
Duval,2052,13,0.6335282651072125,1588,12,0.7556675062972292,19.2792094555319
Escambia,587,5,0.8517887563884157,436,8,1.834862385321101,115.412844036697
Flagler,114,1,0.8771929824561403,102,2,1.9607843137254901,123.529411764706
Franklin,9,0,0,6,0,0,0
Gadsden,61,0,0,70,4,5.714285714285714,Inf
Gilchrist,22,1,4.545454545454546,17,2,11.764705882352942,158.823529411765
Glades,13,1,7.6923076923076925,17,1,5.882352941176471,-23.5294117647059
Gulf,11,1,9.090909090909092,14,1,7.142857142857143,-21.4285714285714
Hamilton,21,1,4.761904761904762,21,0,0,-100
Hardee,41,1,2.4390243902439024,44,2,4.545454545454546,86.3636363636364
Hendry,53,0,0,40,0,0,0
Hernando,235,2,0.851063829787234,146,7,4.794520547945205,463.356164383562
Highlands,104,1,0.9615384615384616,96,2,2.0833333333333335,116.666666666667
Hillsborough,2583,16,0.6194347657762292,1589,14,0.8810572687224669,42.2356828193832
Holmes,16,1,6.25,23,0,0,-100
Indian river,239,4,1.6736401673640167,52,4,7.6923076923076925,359.615384615385
Jackson,74,1,1.3513513513513513,75,1,1.3333333333333333,-1.33333333333334
Jefferson,27,1,3.7037037037037037,19,0,0,-100
Lafayette,2,0,0,6,0,0,0
Lake,404,9,2.227722772277228,332,4,1.2048192771084338,-45.9170013386881
Lee,1010,6,0.594059405940594,778,12,1.5424164524421593,159.640102827763
Leon,561,3,0.5347593582887701,331,3,0.9063444108761329,69.4864048338368
Levy,39,0,0,55,2,3.6363636363636362,Inf
Liberty,15,1,6.666666666666667,8,0,0,-100
Madison,32,0,0,24,0,0,0
Manatee,499,5,1.002004008016032,419,3,0.7159904534606205,-28.5441527446301
Marion,506,6,1.1857707509881423,452,9,1.991150442477876,67.9203539823009
Martin,237,1,0.4219409282700422,202,4,1.9801980198019802,369.306930693069
Miami-dade,5720,28,0.48951048951048953,3262,21,0.6437768240343348,31.5144083384427
Monroe,160,5,3.125,60,0,0,-100
Nassau,104,0,0,72,1,1.3888888888888888,Inf
Okaloosa,372,1,0.26881720430107525,227,3,1.3215859030837005,391.629955947137
Okeechobee,59,0,0,50,1,2,Inf
Orange,2632,11,0.41793313069908816,1456,13,0.8928571428571429,113.636363636364
Osceola,600,11,1.8333333333333333,315,1,0.31746031746031744,-82.6839826839827
Palm beach,2370,22,0.9282700421940928,1614,16,0.9913258983890955,6.79283541737074
Pasco,623,14,2.247191011235955,501,9,1.7964071856287425,-20.059880239521
Pinellas,1435,6,0.4181184668989547,971,6,0.6179196704428425,47.7857878475798
Polk,1024,9,0.87890625,803,7,0.8717310087173101,-0.816383008163825
Putnam,65,3,4.615384615384615,76,2,2.6315789473684212,-42.9824561403509
Santa rosa,195,2,1.0256410256410255,153,0,0,-100
Sarasota,503,4,0.7952286282306164,393,5,1.272264631043257,59.9872773536896
Seminole,597,2,0.33500837520938026,395,5,1.2658227848101267,277.848101265823
St johns,304,2,0.6578947368421053,257,3,1.1673151750972763,77.431906614786
St lucie,416,5,1.2019230769230769,405,2,0.49382716049382713,-58.9135802469136
Sumter,134,3,2.2388059701492535,99,2,2.0202020202020203,-9.76430976430975
Suwannee,56,0,0,61,0,0,0
Taylor,23,0,0,32,2,6.25,Inf
Union,17,0,0,13,0,0,0
Volusia,867,7,0.8073817762399077,733,9,1.2278308321964528,52.0756187877607
Wakulla,46,1,2.1739130434782608,27,0,0,-100
Walton,133,2,1.5037593984962405,104,0,0,-100
Washington,20,1,5,35,0,0,-100
